-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                               aten::mm         8.20%     230.956ms        10.63%     299.506ms      36.414us     176.710ms        47.79%     177.489ms      21.579us           0 B           0 B       1.33 GB       1.33 GB          8225
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      70.256ms        19.00%      70.256ms      30.493us           0 B           0 B           0 B           0 B          2304
                                            aten::copy_         3.55%      99.981ms         7.90%     222.532ms       8.270us      59.281ms        16.03%      59.304ms       2.204us           0 B           0 B           0 B           0 B         26907
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      40.517ms        10.96%      40.517ms       2.577us           0 B           0 B           0 B           0 B         15725
          nvjet_sm90_tst_192x8_64x8_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      35.568ms         9.62%      35.568ms      30.875us           0 B           0 B           0 B           0 B          1152
                                              aten::mul         4.05%     114.047ms         7.27%     204.931ms       9.378us      34.357ms         9.29%      34.375ms       1.573us           0 B           0 B       3.36 GB       3.36 GB         21852
                                             aten::mean         2.48%      69.847ms         3.80%     107.044ms      12.706us      20.305ms         5.49%      20.316ms       2.411us           0 B           0 B       5.80 MB       5.80 MB          8425
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      20.305ms         5.49%      20.305ms       2.410us           0 B           0 B           0 B           0 B          8425
                                              aten::pow         4.87%     137.108ms         7.70%     216.978ms      12.877us      18.114ms         4.90%      18.117ms       1.075us           0 B           0 B       1.33 GB       1.33 GB         16850
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.560ms         4.48%      16.560ms       1.530us           0 B           0 B           0 B           0 B         10826
